gamma,f,mean_free_belief,converted_fraction
1.0,0.05,0.16115608658329655,0.0
1.0,0.1,0.2988413050721964,0.0
1.0,0.15,0.41615705285090043,0.0
1.0,0.2,0.515832127451658,1.0
1.0,0.25,0.6002634534534259,1.0
1.0,0.3,0.6715527606798323,1.0
1.0,0.4,0.7818308914202402,1.0
0.95,0.05,0.19821860455712506,0.0
0.95,0.1,0.3359369402942123,0.0
0.95,0.15,0.4344024198179024,0.0
0.95,0.2,0.5080352791378198,0.9375
0.95,0.25,0.5656500776691219,1.0
0.95,0.3,0.6143285007741078,1.0
0.95,0.4,0.6766524064615842,1.0
0.9,0.05,0.11766335767096617,0.0
0.9,0.1,0.20586395761941445,0.0
0.9,0.15,0.2781941633721101,0.0
0.9,0.2,0.33836678241223206,0.0
0.9,0.25,0.3955512082836913,0.0
0.9,0.3,0.45057004381907184,0.0
0.9,0.4,0.5104972414305272,0.6666666666666666
0.8,0.05,0.06473440632706809,0.0
0.8,0.1,0.1107793960474005,0.0
0.8,0.15,0.15956045691648618,0.0
0.8,0.2,0.19474974642109877,0.0
0.8,0.25,0.24796834678296664,0.0
0.8,0.3,0.3018180011745795,0.0
0.8,0.4,0.34431639744259673,0.0
0.7,0.05,0.04669813301744077,0.0
0.7,0.1,0.07565339133581007,0.0
0.7,0.15,0.11340289423366168,0.0
0.7,0.2,0.1338172383048954,0.0
0.7,0.25,0.18120031531570296,0.0
0.7,0.3,0.23164107329064593,0.0
0.7,0.4,0.26302762115796946,0.0
0.6,0.05,0.03790166238143554,0.0
0.6,0.1,0.058397328002607836,0.0
0.6,0.15,0.08994383069830614,0.0
0.6,0.2,0.10117300639242101,0.0
0.6,0.25,0.14161192598118474,0.0
0.6,0.3,0.18987348230037734,0.0
0.6,0.4,0.21451032673287976,0.0
0.5,0.05,0.032730057737850635,0.0
0.5,0.1,0.048341706451825034,0.0
0.5,0.15,0.0763995590012549,0.0
0.5,0.2,0.08093420733571362,0.0
0.5,0.25,0.11412560424219415,0.0
0.5,0.3,0.1614442584985222,0.0
0.5,0.4,0.18170266486006928,0.0
