bin,bin_low,bin_high,count,latent_mean,appraised_mean
0,0.0,0.1,22,0.09031721652465809,0.0865996435029615
1,0.1,0.2,1374,0.1587341363179555,0.10770418003943844
2,0.2,0.30000000000000004,1888,0.25064894415965433,0.16688142667164657
3,0.30000000000000004,0.4,2082,0.35140673491241825,0.2226198179579624
4,0.4,0.5,2348,0.4499925935522657,0.41706163934078905
5,0.5,0.6000000000000001,2360,0.5478585818597259,0.5603063103500542
6,0.6000000000000001,0.7000000000000001,1751,0.6480947545227466,0.8178639242277209
7,0.7000000000000001,0.8,1396,0.746556064137911,0.8677606415815995
8,0.8,0.9,737,0.8393839121055255,0.9168186237974095
9,0.9,1.0,42,0.9068400729655979,0.9192727644233174
