f,seed,converted_fraction,mean_free_belief,prop3_reference
0.05,0,0.0,0.07161809637202732,0.08135715810327049
0.05,1,0.0,0.07899270755033184,0.08135715810327049
0.05,2,0.0,0.06374129360025912,0.08135715810327049
0.05,3,0.0,0.06288505594302199,0.08135715810327049
0.05,4,0.0,0.0708584092179074,0.08135715810327049
0.1,0,0.0,0.08672055920611958,0.15648111625970584
0.1,1,0.0,0.08887656396906848,0.15648111625970584
0.1,2,0.0,0.08866098490037161,0.15648111625970584
0.1,3,0.0,0.09061190116474796,0.15648111625970584
0.1,4,0.0,0.09823763446055184,0.15648111625970584
0.15,0,0.0,0.11187556954913878,0.2258204500943467
0.15,1,0.0,0.09780399082247944,0.2258204500943467
0.15,2,0.0,0.08646033597599162,0.2258204500943467
0.15,3,0.0,0.10057417301783006,0.2258204500943467
0.15,4,0.0,0.1018151083221586,0.2258204500943467
0.2,0,0.0,0.11582902262632946,0.28979349944531385
0.2,1,0.0,0.13636229884943876,0.28979349944531385
0.2,2,0.0,0.10982267972680629,0.28979349944531385
0.2,3,0.0,0.13055238949716896,0.28979349944531385
0.2,4,0.0,0.12939779308133864,0.28979349944531385
0.25,0,0.0,0.14502731647208905,0.3487902710008862
0.25,1,0.0,0.15157015495305623,0.3487902710008862
0.25,2,0.0,0.1463275940363258,0.3487902710008862
0.25,3,0.0,0.12646914045117016,0.3487902710008862
0.25,4,0.0,0.12130017732259421,0.3487902710008862
0.3,0,0.0,0.19024657260119793,0.40317422957577365
0.3,1,0.0,0.15848380565371797,0.40317422957577365
0.3,2,0.0,0.1537749272672178,0.40317422957577365
0.3,3,0.0,0.1447933413937649,0.40317422957577365
0.3,4,0.0,0.1755024331093312,0.40317422957577365
0.4,0,0.0,0.20626951463329224,0.4994348737993709
0.4,1,0.0,0.19602678480534674,0.4994348737993709
0.4,2,0.0,0.16616891188329816,0.4994348737993709
0.4,3,0.0,0.23520322483363684,0.4994348737993709
0.4,4,0.0,0.215679748669373,0.4994348737993709
