kappa_condition,seed,kappa_exact
0.5,0,-0.011171133890676251
0.5,1,-0.15921875423931464
0.5,2,0.05345941468625834
0.5,3,0.028259108598145077
0.5,4,-0.07042251624357654
1.0,0,0.32698469098434707
1.0,1,0.32896976118930255
1.0,2,0.3978018081137207
1.0,3,0.34852208727181666
1.0,4,0.3149098270023853
2.0,0,0.9757993755609096
2.0,1,0.9130590359208288
2.0,2,1.001497184574553
2.0,3,0.9908580086049243
2.0,4,0.9560738505156088
4.0,0,2.6143798614160696
4.0,1,2.55826342814151
4.0,2,2.673099991431299
4.0,3,2.5801883824459804
4.0,4,2.5199487299088768
8.0,0,5.998183902194835
8.0,1,5.8696420308766815
8.0,2,5.926902723756783
8.0,3,5.996596595483732
8.0,4,5.9832432386921015
16.0,0,12.59072823816936
16.0,1,12.343480226296515
16.0,2,12.673448960050596
16.0,3,12.836508081126201
16.0,4,12.613798861922572
32.0,0,26.129970040726857
32.0,1,26.296430912004947
32.0,2,26.061426515801234
32.0,3,26.596184521778895
32.0,4,25.81394983449641
