bin,bin_low,bin_high,count,latent_mean,appraised_mean
0,0.0,0.1,1211,0.05750020454012466,0.00010466560268562069
1,0.1,0.2,1278,0.15000309519861035,0.0040920890412828575
2,0.2,0.30000000000000004,1904,0.25346215407754963,0.148995198447151
3,0.30000000000000004,0.4,2786,0.35128289085373776,0.2697532029251037
4,0.4,0.5,2362,0.4490434324242754,0.4407044842263866
5,0.5,0.6000000000000001,1899,0.5468304636951967,0.5162278673589515
6,0.6000000000000001,0.7000000000000001,1327,0.6475720993824524,0.600960260828693
7,0.7000000000000001,0.8,872,0.7476770822081391,0.6968881326619113
8,0.8,0.9,354,0.8344060027210821,0.8122528827657122
9,0.9,1.0,7,0.9043540646737818,0.8111572916370451
