bin,bin_low,bin_high,count,latent_mean,appraised_mean
0,0.0,0.1,14,0.08694522602785883,0.1319190979772205
1,0.1,0.2,1556,0.1683477444042839,0.13974565183874327
2,0.2,0.30000000000000004,3209,0.2481773765413078,0.18593989155553575
3,0.30000000000000004,0.4,2814,0.34917581322989094,0.23567063959036064
4,0.4,0.5,2141,0.4496366937091702,0.3767040186285824
5,0.5,0.6000000000000001,1684,0.545384074713899,0.5178105470470842
6,0.6000000000000001,0.7000000000000001,1297,0.6475336477751336,0.6505346944543985
7,0.7000000000000001,0.8,897,0.7478336144320575,0.7629289928533024
8,0.8,0.9,381,0.8348196125885339,0.8861916195261884
9,0.9,1.0,7,0.9043540646737818,0.8870334301424895
