f,seed,round,agent_id,belief
0.05,0,0,0,0.999999999
0.05,0,0,1,1e-09
0.05,0,0,2,1e-09
0.05,0,0,3,1e-09
0.05,0,0,4,1e-09
0.05,0,0,5,1e-09
0.05,0,0,6,1e-09
0.05,0,0,7,1e-09
0.05,0,0,8,1e-09
0.05,0,0,9,1e-09
0.05,0,0,10,1e-09
0.05,0,0,11,1e-09
0.05,0,0,12,1e-09
0.05,0,0,13,1e-09
0.05,0,0,14,1e-09
0.05,0,0,15,1e-09
0.05,0,0,16,1e-09
0.05,0,0,17,1e-09
0.05,0,0,18,1e-09
0.05,0,0,19,1e-09
0.05,0,1,0,0.999999999
0.05,0,1,1,0.12032067486896879
0.05,0,1,2,0.12032067486896877
0.05,0,1,3,0.12032067486896879
0.05,0,1,4,0.11787248924547691
0.05,0,1,5,0.12032067486896877
0.05,0,1,6,0.12032067486896877
0.05,0,1,7,0.11891640340833684
0.05,0,1,8,0.11891640340833684
0.05,0,1,9,0.11891640340833684
0.05,0,1,10,0.11787248924547691
0.05,0,1,11,0.11891640340833683
0.05,0,1,12,0.11891640340833684
0.05,0,1,13,0.12032067486896877
0.05,0,1,14,0.11787248924547693
0.05,0,1,15,0.12032067486896879
0.05,0,1,16,0.11891640340833684
0.05,0,1,17,0.12032067486896879
0.05,0,1,18,0.12032067486896879
0.05,0,1,19,0.11891640340833684
0.05,0,2,0,0.999999999
0.05,0,2,1,0.1369451404639299
0.05,0,2,2,0.13694514046392992
0.05,0,2,3,0.13694514046392992
0.05,0,2,4,0.13503280010473723
0.05,0,2,5,0.1363734731842685
0.05,0,2,6,0.1369451404639299
0.05,0,2,7,0.13694514046392994
0.05,0,2,8,0.13694514046392992
0.05,0,2,9,0.1361761346640601
0.05,0,2,10,0.13560446738439863
0.05,0,2,11,0.1369451404639299
0.05,0,2,12,0.13560446738439866
0.05,0,2,13,0.13637347318426857
0.05,0,2,14,0.13637347318426854
0.05,0,2,15,0.13637347318426857
0.05,0,2,16,0.13560446738439866
0.05,0,2,17,0.1377141462637998
0.05,0,2,18,0.13637347318426854
0.05,0,2,19,0.13560446738439866
0.05,0,3,0,0.999999999
0.05,0,3,1,0.14334925401364895
0.05,0,3,2,0.1424261676310209
0.05,0,3,3,0.1428197746104599
0.05,0,3,4,0.1415030812483928
