bin,bin_low,bin_high,count,latent_mean,appraised_mean
0,0.0,0.1,14,0.08694522602785883,0.10508551995558733
1,0.1,0.2,741,0.16104156413711115,0.10816055549169606
2,0.2,0.30000000000000004,1406,0.2521188308655876,0.18763068941067002
3,0.30000000000000004,0.4,1912,0.3526547467102228,0.25569302835852803
4,0.4,0.5,2232,0.45047203604749947,0.4317515966241391
5,0.5,0.6000000000000001,2438,0.5490307407067783,0.5816434298891487
6,0.6000000000000001,0.7000000000000001,2060,0.6494435077269788,0.8119458514287483
7,0.7000000000000001,0.8,1883,0.7499479669142798,0.8505686046369536
8,0.8,0.9,1307,0.8418203015185127,0.8949144800444129
9,0.9,1.0,7,0.9043540646737818,0.8949144800444129
