f,seed,converted_fraction,mean_free_belief,prop3_reference
0.05,0,0.0,0.024541558258028073,0.08135715810327049
0.05,1,0.0,0.03211530135003389,0.08135715810327049
0.05,2,0.0,0.016453618674351467,0.08135715810327049
0.05,3,0.0,0.01557406212364957,0.08135715810327049
0.05,4,0.0,0.023762608779821663,0.08135715810327049
0.1,0,0.0,0.04005127550876532,0.15648111625970584
0.1,1,0.0,0.04084899477712536,0.15648111625970584
0.1,2,0.0,0.04204310393882891,0.15648111625970584
0.1,3,0.0,0.04404695189936635,0.15648111625970584
0.1,4,0.0,0.05148548921284154,0.15648111625970584
0.15,0,0.0,0.06675077002374444,0.2258204500943467
0.15,1,0.0,0.050970717493742185,0.2258204500943467
0.15,2,0.0,0.03992832519755205,0.2258204500943467
0.15,3,0.0,0.05374021646187555,0.2258204500943467
0.15,4,0.0,0.05702697759880064,0.2258204500943467
0.2,0,0.0,0.07145803108184495,0.28979349944531385
0.2,1,0.0,0.09171432430767419,0.28979349944531385
0.2,2,0.0,0.06431946020459428,0.28979349944531385
0.2,3,0.0,0.08172176859368446,0.28979349944531385
0.2,4,0.0,0.08311389783380452,0.28979349944531385
0.25,0,0.0,0.10061299951021416,0.3487902710008862
0.25,1,0.0,0.10446310068220897,0.3487902710008862
0.25,2,0.0,0.10227291306422738,0.3487902710008862
0.25,3,0.0,0.08562660579862762,0.3487902710008862
0.25,4,0.0,0.07510203796245205,0.3487902710008862
0.3,0,0.0,0.14249582114237788,0.40317422957577365
0.3,1,0.0,0.11446834949040426,0.40317422957577365
0.3,2,0.0,0.10891709906073459,0.40317422957577365
0.3,3,0.0,0.10034530439073246,0.40317422957577365
0.3,4,0.0,0.13224409412032648,0.40317422957577365
0.4,0,0.0,0.1668672546304799,0.4994348737993709
0.4,1,0.0,0.15160155526175853,0.4994348737993709
0.4,2,0.0,0.12978422195455344,0.4994348737993709
0.4,3,0.0,0.18644159097047783,0.4994348737993709
0.4,4,0.0,0.16572179918901273,0.4994348737993709
