kappa_condition,seed,kappa_exact
0.5,0,-0.16307834511528618
0.5,1,-0.13020694963606527
0.5,2,-0.06707610751343507
0.5,3,-0.11506801423254734
0.5,4,-0.15959928696208142
1.0,0,0.42083315488641343
1.0,1,0.30426150837286137
1.0,2,0.2758254997831757
1.0,3,0.3487781574381251
1.0,4,0.4259473767033947
2.0,0,1.6986779569993267
2.0,1,1.6834957569028686
2.0,2,1.492818942981064
2.0,3,1.6734938921598999
2.0,4,1.680177398588745
4.0,0,3.769797664428839
4.0,1,3.8007838616105136
4.0,2,3.698914644009614
4.0,3,3.7779743055360786
4.0,4,3.8217422357665747
8.0,0,7.498533908733496
8.0,1,7.544072751402972
8.0,2,7.596878308943827
8.0,3,7.587377718612733
8.0,4,7.528731251397693
16.0,0,14.74642034713423
16.0,1,14.894466091767086
16.0,2,14.710482180961534
16.0,3,15.000036866523274
16.0,4,14.707704064731162
32.0,0,29.53146680267459
32.0,1,30.82284944859042
32.0,2,29.638918113476002
32.0,3,30.570108359753604
32.0,4,29.704253015009265
